TIMESTAMP,COIN,STOCKMARKET,PRICE
1572307200,ETH,TMA,182.67
1572220800,ETH,TMA,184.4
1572134400,ETH,TMA,179.93
1572048000,ETH,TMA,181.67
1571961600,ETH,TMA,162.19
1571875200,ETH,TMA,162.51
1571788800,ETH,TMA,172.26
1571702400,ETH,TMA,174.91
1571616000,ETH,TMA,175.52
1571529600,ETH,TMA,172.97
1571443200,ETH,TMA,173.65
1571356800,ETH,TMA,177.99
1571270400,ETH,TMA,175.91
1571184000,ETH,TMA,181.34
1571097600,ETH,TMA,186.98
1571011200,ETH,TMA,182.03
1570924800,ETH,TMA,180.86
1570838400,ETH,TMA,182.53
1570752000,ETH,TMA,191.8
1570665600,ETH,TMA,193.19
1570579200,ETH,TMA,182.04
1570492800,ETH,TMA,181.11
1570406400,ETH,TMA,172.94
1570320000,ETH,TMA,176.36
1570233600,ETH,TMA,176.95
1570147200,ETH,TMA,175.24
1570060800,ETH,TMA,180.7
1569974400,ETH,TMA,177.22
1569888000,ETH,TMA,180.21
1569801600,ETH,TMA,170.46
1569715200,ETH,TMA,174.61
1569628800,ETH,TMA,174.68
1569542400,ETH,TMA,166.65
1569456000,ETH,TMA,170.76
1569369600,ETH,TMA,168.13
1569283200,ETH,TMA,201.84
1569196800,ETH,TMA,211.71
1569110400,ETH,TMA,215.49
1569024000,ETH,TMA,217.9
1568937600,ETH,TMA,221.07
1568851200,ETH,TMA,211.25
1568764800,ETH,TMA,208.05
1568678400,ETH,TMA,197.11
1568592000,ETH,TMA,189.69
1568505600,ETH,TMA,188.07
1568419200,ETH,TMA,181.32
1568332800,ETH,TMA,180.98
1568246400,ETH,TMA,178.8
1568160000,ETH,TMA,179.84
1568073600,ETH,TMA,181.21
1567987200,ETH,TMA,181.36
1567900800,ETH,TMA,178.28
1567814400,ETH,TMA,169.96
1567728000,ETH,TMA,174.17
1567641600,ETH,TMA,175.97
1567555200,ETH,TMA,179.49
1567468800,ETH,TMA,178.36
1567382400,ETH,TMA,171.7
1567296000,ETH,TMA,172.46
1567209600,ETH,TMA,168.89
1567123200,ETH,TMA,169.49
1567036800,ETH,TMA,173.96
1566950400,ETH,TMA,187.5
1566864000,ETH,TMA,188.95
1566777600,ETH,TMA,186.74
1566691200,ETH,TMA,191.23
